,face,gender,handcode_gender,paths
10,"tensor([[[ 0,  0,  0],
         [ 0,  0,  0],
         [ 0,  0,  0],
         ...,
         [ 0,  0,  0],
         [ 0,  0,  0],
         [ 0,  0,  0]],

        [[ 0,  0,  0],
         [ 0,  0,  0],
         [ 0,  0,  0],
         ...,
         [ 0,  0,  0],
         [ 0,  0,  0],
         [ 0,  0,  0]],

        [[ 0,  0,  0],
         [ 0,  0,  0],
         [ 0,  0,  0],
         ...,
         [ 0,  0,  0],
         [ 0,  0,  0],
         [ 0,  0,  0]],

        ...,

        [[ 0,  0,  0],
         [ 0,  0,  0],
         [ 0,  0,  0],
         ...,
         [41, 34, 18],
         [40, 33, 15],
         [48, 36, 24]],

        [[ 0,  0,  0],
         [ 0,  0,  0],
         [ 0,  0,  0],
         ...,
         [34, 26, 13],
         [33, 25, 12],
         [27, 19, 16]],

        [[ 0,  0,  0],
         [ 0,  0,  0],
         [ 0,  0,  0],
         ...,
         [19, 10,  4],
         [15, 12,  7],
         [20, 15, 11]]], dtype=torch.uint8)",Male,f,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\zenia.stampe\pic_101.jpeg
11,"tensor([[[ 74,  40,  43],
         [116,  79,  70],
         [179, 146, 128],
         ...,
         [182, 194, 190],
         [204, 217, 208],
         [167, 183, 172]],

        [[132,  92,  88],
         [107,  74,  52],
         [207, 178, 148],
         ...,
         [166, 179, 173],
         [212, 225, 216],
         [186, 203, 192]],

        [[ 72,  32,  22],
         [186, 156, 125],
         [200, 174, 138],
         ...,
         [174, 187, 180],
         [199, 212, 203],
         [185, 202, 191]],

        ...,

        [[251, 213, 151],
         [237, 194, 131],
         [228, 178, 117],
         ...,
         [158, 146, 132],
         [160, 152, 136],
         [149, 145, 125]],

        [[235, 196, 134],
         [236, 192, 129],
         [235, 185, 124],
         ...,
         [163, 156, 140],
         [171, 169, 151],
         [161, 160, 147]],

        [[224, 186, 116],
         [229, 186, 119],
         [227, 177, 115],
         ...,
         [168, 166, 148],
         [162, 168, 148],
         [155, 156, 151]]], dtype=torch.uint8)",Female,f,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\annepaulin\pic_1.jpeg
12,"tensor([[[242, 210, 185],
         [241, 209, 184],
         [242, 210, 187],
         ...,
         [  0,   0,   0],
         [  0,   0,   0],
         [  0,   0,   0]],

        [[242, 210, 185],
         [240, 208, 183],
         [239, 207, 184],
         ...,
         [  0,   0,   0],
         [  0,   0,   0],
         [  0,   0,   0]],

        [[242, 210, 185],
         [240, 208, 183],
         [242, 210, 187],
         ...,
         [  0,   0,   0],
         [  0,   0,   0],
         [  0,   0,   0]],

        ...,

        [[242, 213, 197],
         [239, 210, 194],
         [240, 211, 195],
         ...,
         [241, 214, 197],
         [242, 213, 197],
         [238, 209, 193]],

        [[238, 211, 194],
         [238, 211, 194],
         [238, 211, 194],
         ...,
         [240, 213, 196],
         [242, 213, 197],
         [241, 212, 196]],

        [[240, 213, 196],
         [238, 211, 194],
         [238, 211, 194],
         ...,
         [243, 215, 198],
         [241, 212, 196],
         [242, 213, 197]]], dtype=torch.uint8)",Female,m,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\pernillevermund\pic_402.jpeg
13,"tensor([[[204, 139,  74],
         [215, 149,  84],
         [212, 145,  77],
         ...,
         [200, 129,  62],
         [204, 133,  70],
         [204, 134,  73]],

        [[207, 142,  78],
         [213, 147,  80],
         [209, 142,  74],
         ...,
         [205, 134,  63],
         [194, 126,  60],
         [199, 132,  71]],

        [[211, 146,  82],
         [209, 143,  76],
         [213, 146,  78],
         ...,
         [206, 138,  67],
         [192, 126,  61],
         [201, 137,  76]],

        ...,

        [[174, 119,  81],
         [173, 116,  81],
         [174, 115,  83],
         ...,
         [217, 165, 114],
         [233, 194, 132],
         [227, 188, 127]],

        [[177, 123,  85],
         [185, 129,  94],
         [165, 109,  76],
         ...,
         [202, 146,  92],
         [243, 200, 139],
         [230, 188, 128]],

        [[167, 113,  75],
         [169, 115,  79],
         [166, 110,  77],
         ...,
         [195, 132,  78],
         [242, 192, 133],
         [246, 198, 139]]], dtype=torch.uint8)",Female,f,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\juulmona\pic_5.jpeg
14,"tensor([[[167, 182, 189],
         [166, 181, 188],
         [163, 177, 186],
         ...,
         [ 46,  44,  40],
         [ 31,  30,  26],
         [ 60,  61,  56]],

        [[169, 183, 191],
         [166, 181, 188],
         [164, 178, 187],
         ...,
         [ 44,  42,  38],
         [ 24,  23,  19],
         [ 56,  56,  52]],

        [[172, 185, 193],
         [168, 182, 190],
         [167, 181, 190],
         ...,
         [ 54,  52,  48],
         [ 48,  47,  43],
         [ 35,  35,  31]],

        ...,

        [[123, 148, 127],
         [102, 127, 107],
         [109, 134, 114],
         ...,
         [124,  64,  36],
         [149,  89,  60],
         [191, 134, 104]],

        [[112, 136, 122],
         [109, 133, 119],
         [118, 142, 128],
         ...,
         [130,  68,  39],
         [150,  88,  58],
         [192, 133, 104]],

        [[115, 138, 129],
         [115, 138, 129],
         [126, 149, 140],
         ...,
         [141,  77,  47],
         [157,  93,  61],
         [186, 125,  94]]], dtype=torch.uint8)",Female,f,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\sophieloehde\pic_35.jpeg
15,"tensor([[[  0,   0,   0],
         [  0,   0,   0],
         [  0,   0,   0],
         ...,
         [210, 224, 213],
         [199, 218, 211],
         [199, 224, 220]],

        [[  0,   0,   0],
         [  0,   0,   0],
         [  0,   0,   0],
         ...,
         [207, 217, 204],
         [209, 229, 222],
         [197, 222, 218]],

        [[  0,   0,   0],
         [  0,   0,   0],
         [  0,   0,   0],
         ...,
         [163, 170, 158],
         [215, 236, 231],
         [206, 231, 227]],

        ...,

        [[160, 152, 121],
         [141, 134, 104],
         [130, 129, 102],
         ...,
         [ 81,  70,  52],
         [ 56,  45,  26],
         [ 72,  60,  40]],

        [[ 78,  74,  48],
         [ 75,  72,  46],
         [ 71,  73,  52],
         ...,
         [ 84,  73,  54],
         [ 81,  70,  50],
         [ 83,  70,  49]],

        [[ 55,  56,  35],
         [ 51,  52,  32],
         [ 46,  49,  33],
         ...,
         [ 75,  63,  42],
         [ 84,  72,  49],
         [ 95,  82,  58]]], dtype=torch.uint8)",Female,f,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\kathrineolldag\pic_65.jpeg
16,"tensor([[[ 38,  36,  30],
         [ 44,  41,  33],
         [ 49,  45,  36],
         ...,
         [158, 123, 103],
         [151, 117,  98],
         [145, 110,  93]],

        [[ 40,  38,  32],
         [ 47,  43,  36],
         [ 52,  48,  39],
         ...,
         [157, 121, 102],
         [151, 116,  98],
         [146, 111,  94]],

        [[ 43,  40,  35],
         [ 49,  45,  38],
         [ 55,  50,  42],
         ...,
         [156, 120, 101],
         [152, 116,  99],
         [148, 112,  96]],

        ...,

        [[107, 109, 106],
         [110, 112, 108],
         [111, 112, 106],
         ...,
         [ 30,  25,  22],
         [ 32,  28,  25],
         [ 35,  32,  29]],

        [[104, 107, 104],
         [106, 108, 104],
         [104, 106, 101],
         ...,
         [ 34,  30,  27],
         [ 35,  32,  29],
         [ 36,  34,  31]],

        [[101, 104, 102],
         [101, 104, 101],
         [ 98, 100,  96],
         ...,
         [ 36,  32,  29],
         [ 37,  34,  32],
         [ 37,  35,  34]]], dtype=torch.uint8)",Female,f,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\lorentzenkristian\pic_104.jpeg
17,"tensor([[[126, 113,  96],
         [122, 109,  92],
         [119, 106,  89],
         ...,
         [ 95,  78,  74],
         [ 96,  78,  74],
         [ 91,  72,  69]],

        [[125, 112,  94],
         [123, 110,  93],
         [121, 108,  91],
         ...,
         [ 94,  77,  73],
         [ 95,  77,  73],
         [ 91,  72,  68]],

        [[125, 111,  93],
         [125, 112,  94],
         [125, 112,  95],
         ...,
         [ 93,  77,  72],
         [ 95,  77,  72],
         [ 90,  72,  67]],

        ...,

        [[ 99,  66,  44],
         [ 92,  61,  41],
         [ 85,  56,  37],
         ...,
         [109,  77,  55],
         [103,  73,  52],
         [104,  75,  54]],

        [[ 73,  42,  21],
         [ 73,  44,  25],
         [ 72,  45,  28],
         ...,
         [106,  75,  52],
         [ 98,  68,  47],
         [104,  75,  54]],

        [[ 89,  60,  39],
         [ 93,  65,  46],
         [ 95,  69,  53],
         ...,
         [107,  75,  52],
         [ 98,  68,  45],
         [102,  73,  52]]], dtype=torch.uint8)",Female,f,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\samiranawa\pic_6.jpeg
18,"tensor([[[202, 208, 206],
         [203, 209, 207],
         [204, 210, 208],
         ...,
         [224, 229, 232],
         [227, 232, 235],
         [228, 233, 236]],

        [[203, 209, 207],
         [204, 210, 208],
         [205, 211, 209],
         ...,
         [223, 228, 231],
         [226, 231, 234],
         [227, 232, 235]],

        [[201, 207, 205],
         [205, 211, 209],
         [203, 209, 207],
         ...,
         [223, 228, 231],
         [223, 228, 231],
         [224, 229, 232]],

        ...,

        [[ 34,  36,  48],
         [ 66,  68,  80],
         [ 29,  33,  44],
         ...,
         [159, 147, 133],
         [152, 140, 126],
         [156, 144, 130]],

        [[103, 105, 117],
         [ 51,  53,  65],
         [ 42,  46,  58],
         ...,
         [154, 142, 128],
         [157, 145, 131],
         [128, 116, 102]],

        [[  7,   8,  20],
         [ 91,  93, 105],
         [ 70,  73,  85],
         ...,
         [114, 102,  88],
         [133, 121, 107],
         [158, 146, 132]]], dtype=torch.uint8)",Male,m,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\larsbojemathiesen\pic_20.jpeg
19,"tensor([[[183, 218, 255],
         [183, 218, 255],
         [183, 218, 255],
         ...,
         [145, 173, 198],
         [ 83, 109, 133],
         [157, 183, 199]],

        [[183, 218, 255],
         [182, 217, 255],
         [182, 217, 255],
         ...,
         [124, 152, 170],
         [141, 162, 175],
         [ 89, 111, 137]],

        [[183, 218, 255],
         [182, 217, 255],
         [180, 215, 253],
         ...,
         [ 29,  55,  80],
         [ 99, 126, 151],
         [ 91, 119, 146]],

        ...,

        [[175, 213, 250],
         [176, 214, 251],
         [178, 216, 253],
         ...,
         [ 84, 108, 138],
         [ 99, 126, 156],
         [ 56,  85, 113]],

        [[174, 212, 249],
         [175, 213, 250],
         [177, 215, 252],
         ...,
         [104, 125, 155],
         [ 68,  91, 121],
         [ 67,  92, 121]],

        [[175, 213, 250],
         [175, 213, 250],
         [178, 216, 253],
         ...,
         [ 63,  77, 104],
         [ 48,  65,  93],
         [ 55,  76, 104]]], dtype=torch.uint8)",Male,f,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\astridkrag\pic_159.jpeg
20,"tensor([[[221, 226, 230],
         [222, 227, 231],
         [222, 227, 231],
         ...,
         [222, 226, 235],
         [222, 226, 235],
         [222, 226, 235]],

        [[221, 226, 230],
         [222, 227, 231],
         [222, 227, 231],
         ...,
         [221, 225, 234],
         [222, 226, 235],
         [221, 225, 234]],

        [[221, 226, 229],
         [222, 227, 230],
         [222, 227, 230],
         ...,
         [220, 224, 233],
         [221, 225, 234],
         [221, 225, 234]],

        ...,

        [[215, 217, 217],
         [209, 208, 205],
         [196, 176, 152],
         ...,
         [173, 150, 119],
         [201, 177, 149],
         [212, 191, 162]],

        [[218, 219, 217],
         [207, 206, 201],
         [193, 173, 149],
         ...,
         [171, 148, 117],
         [203, 179, 151],
         [212, 191, 162]],

        [[219, 219, 216],
         [204, 200, 194],
         [193, 173, 149],
         ...,
         [182, 158, 128],
         [199, 175, 147],
         [186, 165, 136]]], dtype=torch.uint8)",Female,f,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\idaauken\pic_1.jpeg
21,"tensor([[[ 78,  76,  86],
         [ 77,  75,  84],
         [ 77,  74,  83],
         ...,
         [144, 157, 183],
         [147, 160, 185],
         [150, 162, 187]],

        [[ 49,  46,  55],
         [ 50,  47,  55],
         [ 52,  48,  55],
         ...,
         [145, 158, 184],
         [148, 161, 186],
         [151, 163, 187]],

        [[ 48,  44,  53],
         [ 50,  46,  54],
         [ 51,  46,  53],
         ...,
         [146, 159, 185],
         [149, 162, 186],
         [152, 164, 188]],

        ...,

        [[131, 142, 164],
         [105, 114, 136],
         [ 79,  87, 108],
         ...,
         [142, 153, 186],
         [142, 153, 186],
         [143, 154, 185]],

        [[134, 145, 169],
         [110, 120, 143],
         [ 87,  95, 117],
         ...,
         [146, 151, 182],
         [146, 152, 182],
         [147, 153, 182]],

        [[136, 148, 172],
         [119, 129, 152],
         [101, 110, 132],
         ...,
         [146, 151, 182],
         [147, 152, 182],
         [146, 153, 182]]], dtype=torch.uint8)",Male,m,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\denhenrikdahl\pic_23.jpeg
22,"tensor([[[181, 154, 126],
         [173, 144, 115],
         [148, 119,  89],
         ...,
         [103,  72,  53],
         [ 99,  72,  56],
         [ 99,  76,  63]],

        [[186, 159, 130],
         [181, 152, 122],
         [157, 128,  96],
         ...,
         [102,  69,  52],
         [103,  72,  58],
         [105,  78,  67]],

        [[184, 157, 128],
         [169, 140, 109],
         [183, 154, 122],
         ...,
         [100,  66,  52],
         [104,  71,  59],
         [107,  78,  68]],

        ...,

        [[131,  89,  64],
         [126,  84,  59],
         [142, 100,  75],
         ...,
         [151, 114,  77],
         [157, 121,  84],
         [158, 118,  81]],

        [[132,  90,  65],
         [133,  91,  66],
         [167, 125, 100],
         ...,
         [134,  94,  60],
         [155, 118,  83],
         [149, 105,  73]],

        [[146, 104,  79],
         [145, 103,  78],
         [180, 138, 113],
         ...,
         [151, 102,  77],
         [133,  83,  60],
         [170, 120,  98]]], dtype=torch.uint8)",Female,f,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\rosa_lund\pic_113.jpeg
23,"tensor([[[ 31,  30,  28],
         [ 22,  26,  28],
         [  7,   9,  11],
         ...,
         [191, 192, 174],
         [189, 190, 172],
         [188, 189, 171]],

        [[ 31,  30,  28],
         [ 27,  31,  34],
         [ 14,  15,  18],
         ...,
         [193, 194, 176],
         [193, 194, 176],
         [191, 192, 174]],

        [[ 60,  59,  62],
         [ 14,  20,  19],
         [ 16,  20,  20],
         ...,
         [194, 195, 177],
         [195, 196, 178],
         [194, 195, 177]],

        ...,

        [[240, 241, 236],
         [240, 241, 236],
         [240, 241, 236],
         ...,
         [173, 175, 151],
         [172, 174, 152],
         [171, 173, 151]],

        [[239, 243, 226],
         [239, 241, 228],
         [241, 242, 233],
         ...,
         [172, 174, 150],
         [170, 172, 150],
         [169, 171, 149]],

        [[237, 241, 227],
         [238, 240, 228],
         [239, 241, 232],
         ...,
         [166, 168, 144],
         [167, 169, 146],
         [169, 171, 150]]], dtype=torch.uint8)",Male,m,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\kommune_rune\pic_0.jpeg
